Frame,Visibility,X,Y,Time
0,0,0,0,00:00:00.0
1,0,0,0,00:00:00.03333333333333333
2,0,0,0,00:00:00.06666666666666667
3,0,0,0,00:00:00.1
4,0,0,0,00:00:00.13333333333333333
5,0,0,0,00:00:00.16666666666666666
6,0,0,0,00:00:00.2
7,0,0,0,00:00:00.23333333333333334
8,0,0,0,00:00:00.26666666666666666
9,0,0,0,00:00:00.3
10,0,0,0,00:00:00.3333333333333333
11,0,0,0,00:00:00.36666666666666664
12,0,0,0,00:00:00.4
13,0,0,0,00:00:00.43333333333333335
14,1,620,397,00:00:00.4666666666666667
15,1,627,376,00:00:00.5
16,1,637,365,00:00:00.5333333333333333
17,1,646,353,00:00:00.5666666666666667
18,1,646,353,00:00:00.6
19,1,651,346,00:00:00.6333333333333333
20,1,658,340,00:00:00.6666666666666666
21,1,662,336,00:00:00.7
22,1,666,333,00:00:00.7333333333333333
23,1,672,331,00:00:00.7666666666666666
24,0,0,0,00:00:00.8
25,1,680,328,00:00:00.8333333333333334
26,1,682,331,00:00:00.8666666666666667
27,1,690,336,00:00:00.9
28,1,692,340,00:00:00.9333333333333333
29,1,695,345,00:00:00.9666666666666667
30,0,0,0,00:00:01.0
31,1,705,347,00:00:01.0333333333333332
32,1,712,341,00:00:01.0666666666666667
33,0,0,0,00:00:01.1
34,0,0,0,00:00:01.1333333333333333
35,0,0,0,00:00:01.1666666666666667
36,0,0,0,00:00:01.2
37,0,0,0,00:00:01.2333333333333334
38,0,0,0,00:00:01.2666666666666666
39,1,748,321,00:00:01.3
40,1,753,321,00:00:01.3333333333333333
41,1,758,323,00:00:01.3666666666666667
42,1,758,322,00:00:01.4
43,1,761,326,00:00:01.4333333333333333
44,1,766,331,00:00:01.4666666666666666
45,1,768,336,00:00:01.5
46,1,771,343,00:00:01.5333333333333332
47,1,776,353,00:00:01.5666666666666667
48,1,776,353,00:00:01.6
49,1,778,361,00:00:01.6333333333333333
50,1,781,366,00:00:01.6666666666666667
51,1,781,363,00:00:01.7
52,1,781,363,00:00:01.7333333333333334
53,1,781,366,00:00:01.7666666666666666
54,1,781,366,00:00:01.8
55,1,781,371,00:00:01.8333333333333333
56,1,782,376,00:00:01.8666666666666667
57,1,783,381,00:00:01.9
58,1,786,388,00:00:01.9333333333333333
59,1,786,396,00:00:01.9666666666666666
60,1,786,396,00:00:02.0
61,1,788,406,00:00:02.033333333333333
62,1,790,416,00:00:02.0666666666666664
63,0,0,0,00:00:02.1
64,0,0,0,00:00:02.1333333333333333
65,0,0,0,00:00:02.1666666666666665
66,0,0,0,00:00:02.2
67,0,0,0,00:00:02.2333333333333334
68,0,0,0,00:00:02.2666666666666666
69,0,0,0,00:00:02.3
70,0,0,0,00:00:02.3333333333333335
71,0,0,0,00:00:02.3666666666666667
72,0,0,0,00:00:02.4
73,0,0,0,00:00:02.433333333333333
74,0,0,0,00:00:02.466666666666667
75,0,0,0,00:00:02.5
76,0,0,0,00:00:02.533333333333333
77,0,0,0,00:00:02.5666666666666664
78,0,0,0,00:00:02.6
79,0,0,0,00:00:02.6333333333333333
80,0,0,0,00:00:02.6666666666666665
81,0,0,0,00:00:02.7
82,0,0,0,00:00:02.7333333333333334
83,0,0,0,00:00:02.7666666666666666
